#Organism Name,Assembly,BioProject,BioSample,CDS,GC%,GenBank FTP,Host,Level,Neighbors,Organism Groups,RefSeq FTP,Release Date,Replicons,Replicons.1,Scaffolds,Size(Mb),Strain,WGS
Staphylococcus epidermidis,GCA_007666905.1,PRJNA543692,SAMN11792668,2264,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/905/GCA_007666905.1_ASM766690v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/905/GCF_007666905.1_ASM766690v1,2019-07-30T00:00:00Z,,,41.0,2.45376,DE0508,VDQA01
Staphylococcus epidermidis,GCA_900205815.1,PRJEB21503,SAMEA104168468,2243,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/205/815/GCA_900205815.1_WGS415_S22,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/205/815/GCF_900205815.1_WGS415_S22,2017-11-20T00:00:00Z,,,26.0,2.39773,I4,OANX01
Staphylococcus epidermidis,GCA_900199525.1,PRJEB21503,SAMEA104168469,2291,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/525/GCA_900199525.1_WGS411_S19,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/525/GCF_900199525.1_WGS411_S19,2017-11-22T00:00:00Z,,,28.0,2.4445200000000002,I6,FZQW01
Staphylococcus epidermidis,GCA_900205845.1,PRJEB21503,SAMEA104168470,2289,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/205/845/GCA_900205845.1_WGS416_S23,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/205/845/GCF_900205845.1_WGS416_S23,2017-11-22T00:00:00Z,,,26.0,2.44652,I6,OANW01
Staphylococcus epidermidis,GCA_007678235.1,PRJNA543692,SAMN11792339,2368,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/235/GCA_007678235.1_ASM767823v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/235/GCF_007678235.1_ASM767823v1,2019-07-30T00:00:00Z,,,65.0,2.5265,DE0179,VEEE01
Staphylococcus epidermidis,GCA_007666645.1,PRJNA543692,SAMN11792683,2296,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/645/GCA_007666645.1_ASM766664v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/645/GCF_007666645.1_ASM766664v1,2019-07-30T00:00:00Z,,,37.0,2.48766,DE0523,VDPO01
Staphylococcus epidermidis,GCA_007672965.1,PRJNA543692,SAMN11792557,2338,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/672/965/GCA_007672965.1_ASM767296v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/672/965/GCF_007672965.1_ASM767296v1,2019-07-30T00:00:00Z,,,107.0,2.47565,DE0397,VDTP01
Staphylococcus epidermidis,GCA_007667225.1,PRJNA543692,SAMN11792646,2283,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/225/GCA_007667225.1_ASM766722v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/225/GCF_007667225.1_ASM766722v1,2019-07-30T00:00:00Z,,,54.0,2.43973,DE0486,VDQR01
Staphylococcus epidermidis,GCA_002750045.1,PRJNA415995,SAMN07839770,2588,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/045/GCA_002750045.1_ASM275004v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/045/GCF_002750045.1_ASM275004v1,2017-11-04T00:00:00Z,,,212.0,2.7421599999999997,SCH-17,PEJG01
Staphylococcus epidermidis,GCA_007673495.1,PRJNA543692,SAMN11792514,2461,32.6,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/673/495/GCA_007673495.1_ASM767349v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/495/GCF_007673495.1_ASM767349v1,2019-07-30T00:00:00Z,,,568.0,2.61346,DE0354,VDZS01
Staphylococcus epidermidis,GCA_002750095.1,PRJNA415995,SAMN07839764,2321,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/095/GCA_002750095.1_ASM275009v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/095/GCF_002750095.1_ASM275009v1,2017-11-04T00:00:00Z,,,67.0,2.47669,SCH-11,PEJA01
Staphylococcus epidermidis CIM28,GCA_000418125.2,PRJNA207997,SAMN02470523,2513,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/125/GCA_000418125.2_CIM28_v2,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/125/GCF_000418125.2_CIM28_v2,2013-07-02T00:00:00Z,,,91.0,2.68909,CIM28,ATDF02
Staphylococcus epidermidis,GCA_007666395.1,PRJNA543692,SAMN11792698,2291,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/395/GCA_007666395.1_ASM766639v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/395/GCF_007666395.1_ASM766639v1,2019-07-30T00:00:00Z,,,61.0,2.47306,DE0538,VDPA01
Staphylococcus epidermidis,GCA_007665785.1,PRJNA543692,SAMN11792737,2323,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/665/785/GCA_007665785.1_ASM766578v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/665/785/GCF_007665785.1_ASM766578v1,2019-07-30T00:00:00Z,,,85.0,2.49031,DE0577,VDNW01
Staphylococcus epidermidis,GCA_007672915.1,PRJNA543692,SAMN11792560,2487,32.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/672/915/GCA_007672915.1_ASM767291v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/672/915/GCF_007672915.1_ASM767291v1,2019-07-30T00:00:00Z,,,1326.0,2.9179,DE0400,VDTM01
Staphylococcus epidermidis,GCA_902159385.1,PRJEB22252,SAMEA104567649,2329,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/159/385/GCA_902159385.1_25426_7_61,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/159/385/GCF_902159385.1_25426_7_61,2019-07-08T15:52:00Z,,,39.0,2.52901,4928STDY7071543,CABGKA01
Staphylococcus epidermidis,GCA_902363495.1,PRJEB33885,SAMEA5849623,2403,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/363/495/GCA_902363495.1_MGYG-HGUT-00122,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/363/495/GCF_902363495.1_MGYG-HGUT-00122,2019-08-16T08:00:00Z,,,35.0,2.56088,MGYG-HGUT-00122,CABJAG01
Staphylococcus epidermidis,GCA_002156425.1,PRJNA374795,SAMN06335551,2381,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/425/GCA_002156425.1_ASM215642v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/425/GCF_002156425.1_ASM215642v1,2017-05-22T00:00:00Z,,,53.0,2.54608,B45679-10,MVFV01
Staphylococcus epidermidis,GCA_002750035.1,PRJNA415995,SAMN07839772,2605,31.7,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/035/GCA_002750035.1_ASM275003v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/035/GCF_002750035.1_ASM275003v1,2017-11-04T00:00:00Z,,,92.0,2.7265200000000003,SCH-19,PEJI01
Staphylococcus epidermidis,GCA_007679405.1,PRJNA543692,SAMN11792268,2465,32.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/679/405/GCA_007679405.1_ASM767940v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/679/405/GCF_007679405.1_ASM767940v1,2019-07-30T00:00:00Z,,,329.0,2.58724,DE0108,VEGJ01
Staphylococcus epidermidis,GCA_900205795.1,PRJEB21503,SAMEA104168471,2288,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/205/795/GCA_900205795.1_WGS417_S24,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/205/795/GCF_900205795.1_WGS417_S24,2017-11-24T00:00:00Z,,,28.0,2.41814,I6,OAOB01
Staphylococcus epidermidis,GCA_002750015.1,PRJNA415995,SAMN07839766,2270,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/015/GCA_002750015.1_ASM275001v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/015/GCF_002750015.1_ASM275001v1,2017-11-04T00:00:00Z,,,54.0,2.4351700000000003,SCH-13,PEJC01
Staphylococcus epidermidis,GCA_007666985.1,PRJNA543692,SAMN11792664,2307,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/985/GCA_007666985.1_ASM766698v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/985/GCF_007666985.1_ASM766698v1,2019-07-30T00:00:00Z,,,60.0,2.49506,DE0504,VDQE01
Staphylococcus epidermidis,GCA_007673505.1,PRJNA543692,SAMN11792511,2386,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/673/505/GCA_007673505.1_ASM767350v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/505/GCF_007673505.1_ASM767350v1,2019-07-30T00:00:00Z,,,198.0,2.57959,DE0351,VDZV01
Staphylococcus epidermidis,GCA_007677245.1,PRJNA543692,SAMN11792413,2320,32.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/677/245/GCA_007677245.1_ASM767724v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/677/245/GCF_007677245.1_ASM767724v1,2019-07-30T00:00:00Z,,,650.0,2.57223,DE0253,VECH01
Staphylococcus epidermidis,GCA_007678985.1,PRJNA543692,SAMN11792294,2328,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/985/GCA_007678985.1_ASM767898v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/985/GCF_007678985.1_ASM767898v1,2019-07-30T00:00:00Z,,,89.0,2.46623,DE0134,VEFP01
Staphylococcus epidermidis,GCA_902159375.1,PRJEB22252,SAMEA104567735,2300,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/159/375/GCA_902159375.1_25426_7_73,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/159/375/GCF_902159375.1_25426_7_73,2019-07-08T15:51:00Z,,,40.0,2.45775,4928STDY7071630,CABGJS01
Staphylococcus epidermidis,GCA_002752825.1,PRJNA415995,SAMN07839776,2381,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/825/GCA_002752825.1_ASM275282v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/825/GCF_002752825.1_ASM275282v1,2017-11-06T00:00:00Z,,,101.0,2.5514099999999997,SCH-23,PEKJ01
Staphylococcus epidermidis,GCA_002752875.2,PRJNA415995,SAMN07839774,2308,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/875/GCA_002752875.2_ASM275287v2,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/875/GCF_002752875.2_ASM275287v2,2017-11-06T00:00:00Z,,,63.0,2.4719,SCH-21,PEKL02
Staphylococcus epidermidis,GCA_007673555.1,PRJNA543692,SAMN11792509,2613,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/673/555/GCA_007673555.1_ASM767355v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/555/GCF_007673555.1_ASM767355v1,2019-07-30T00:00:00Z,,,502.0,2.75307,DE0349,VDZX01
Staphylococcus epidermidis PM221,GCA_007672455.1,PRJNA543692,SAMN11792584,2410,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/672/455/GCA_007672455.1_ASM767245v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/672/455/GCF_007672455.1_ASM767245v1,2019-07-30T00:00:00Z,,,70.0,2.55823,DE0424,VDSQ01
Staphylococcus epidermidis,GCA_007673825.1,PRJNA543692,SAMN11792488,2356,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/673/825/GCA_007673825.1_ASM767382v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/825/GCF_007673825.1_ASM767382v1,2019-07-30T00:00:00Z,,,125.0,2.47833,DE0328,VEAL01
Staphylococcus epidermidis BVS058A4,GCA_000314715.2,PRJNA52117,SAMN02463887,2389,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/715/GCA_000314715.2_Stap_epid_BVS058A4_V1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/715/GCF_000314715.2_Stap_epid_BVS058A4_V1,2012-11-06T00:00:00Z,,,17.0,2.61072,BVS058A4,AGZV01
Staphylococcus epidermidis,GCA_007677635.1,PRJNA543692,SAMN11792383,2317,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/677/635/GCA_007677635.1_ASM767763v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/677/635/GCF_007677635.1_ASM767763v1,2019-07-30T00:00:00Z,,,47.0,2.4487799999999997,DE0223,VEDA01
Staphylococcus epidermidis,GCA_007666305.1,PRJNA543692,SAMN11792701,2240,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/305/GCA_007666305.1_ASM766630v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/305/GCF_007666305.1_ASM766630v1,2019-07-30T00:00:00Z,,,75.0,2.39794,DE0541,VDOX01
Staphylococcus epidermidis,GCA_007678315.1,PRJNA543692,SAMN11792332,2337,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/315/GCA_007678315.1_ASM767831v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/315/GCF_007678315.1_ASM767831v1,2019-07-30T00:00:00Z,,,66.0,2.48407,DE0172,VEEK01
Staphylococcus epidermidis,GCA_007668135.1,PRJNA543692,SAMN11792590,2309,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/668/135/GCA_007668135.1_ASM766813v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/668/135/GCF_007668135.1_ASM766813v1,2019-07-30T00:00:00Z,,,67.0,2.46394,DE0430,VDSL01
Staphylococcus epidermidis,GCA_007666345.1,PRJNA543692,SAMN11792700,2322,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/345/GCA_007666345.1_ASM766634v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/345/GCF_007666345.1_ASM766634v1,2019-07-30T00:00:00Z,,,71.0,2.45939,DE0540,VDOY01
Staphylococcus epidermidis,GCA_002750335.1,PRJNA415995,SAMN07839762,2401,31.8,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/335/GCA_002750335.1_ASM275033v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/335/GCF_002750335.1_ASM275033v1,2017-11-04T00:00:00Z,,,76.0,2.5709400000000002,SCH-9,PEIY01
Staphylococcus epidermidis PM221,GCA_007677215.1,PRJNA543692,SAMN11792417,2361,32.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/677/215/GCA_007677215.1_ASM767721v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/677/215/GCF_007677215.1_ASM767721v1,2019-07-30T00:00:00Z,,,689.0,2.6375,DE0257,VECF01
Staphylococcus epidermidis,GCA_002750285.2,PRJNA415995,SAMN07839771,2345,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/285/GCA_002750285.2_ASM275028v2,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/285/GCF_002750285.2_ASM275028v2,2017-11-04T00:00:00Z,,,68.0,2.48572,SCH-18,PEJH02
Staphylococcus epidermidis,GCA_900113395.1,PRJEB17321,SAMN04487862,2301,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/113/395/GCA_900113395.1_IMG-taxon_2623620480_annotated_assembly,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/113/395/GCF_900113395.1_IMG-taxon_2623620480_annotated_assembly,2016-10-31T00:00:00Z,,,30.0,2.47444,NLAE-zl-G239,FOPD01
Staphylococcus epidermidis,GCA_002752835.2,PRJNA415995,SAMN07839775,2342,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/835/GCA_002752835.2_ASM275283v2,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/835/GCF_002752835.2_ASM275283v2,2017-11-06T00:00:00Z,,,163.0,2.4873,SCH-22,PEKK02
Staphylococcus epidermidis,GCA_007667255.1,PRJNA543692,SAMN11792647,2422,32.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/255/GCA_007667255.1_ASM766725v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/255/GCF_007667255.1_ASM766725v1,2019-07-30T00:00:00Z,,,203.0,2.5434900000000003,DE0487,VDQQ01
Staphylococcus epidermidis,GCA_007665825.1,PRJNA543692,SAMN11792732,2255,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/665/825/GCA_007665825.1_ASM766582v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/665/825/GCF_007665825.1_ASM766582v1,2019-07-30T00:00:00Z,,,74.0,2.41703,DE0572,VDNZ01
Staphylococcus epidermidis,GCA_007678735.1,PRJNA543692,SAMN11792312,2356,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/735/GCA_007678735.1_ASM767873v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/735/GCF_007678735.1_ASM767873v1,2019-07-30T00:00:00Z,,,71.0,2.51403,DE0152,VEFA01
Staphylococcus epidermidis,GCA_007673895.1,PRJNA543692,SAMN11792487,2409,32.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/673/895/GCA_007673895.1_ASM767389v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/895/GCF_007673895.1_ASM767389v1,2019-07-30T00:00:00Z,,,876.0,2.69847,DE0327,VEAM01
Staphylococcus epidermidis PM221,GCA_007666855.1,PRJNA543692,SAMN11792670,2453,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/855/GCA_007666855.1_ASM766685v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/855/GCF_007666855.1_ASM766685v1,2019-07-30T00:00:00Z,,,90.0,2.5634799999999998,DE0510,VDPY01
Staphylococcus epidermidis,GCA_002750145.1,PRJNA415995,SAMN07839758,2404,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/145/GCA_002750145.1_ASM275014v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/145/GCF_002750145.1_ASM275014v1,2017-11-04T00:00:00Z,,,61.0,2.57993,SCH-5,PEIU01
Staphylococcus epidermidis,GCA_002750115.1,PRJNA415995,SAMN07839765,2306,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/115/GCA_002750115.1_ASM275011v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/115/GCF_002750115.1_ASM275011v1,2017-11-04T00:00:00Z,,,57.0,2.4736,SCH-12,PEJB01
Staphylococcus epidermidis,GCA_007677575.1,PRJNA543692,SAMN11792386,2335,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/677/575/GCA_007677575.1_ASM767757v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/677/575/GCF_007677575.1_ASM767757v1,2019-07-30T00:00:00Z,,,83.0,2.46211,DE0226,VECZ01
Staphylococcus epidermidis,GCA_002750355.1,PRJNA415995,SAMN07839759,2503,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/355/GCA_002750355.1_ASM275035v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/355/GCF_002750355.1_ASM275035v1,2017-11-04T00:00:00Z,,,66.0,2.64344,SCH-6,PEIV01
Staphylococcus epidermidis,GCA_002750215.1,PRJNA415995,SAMN07839755,2394,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/215/GCA_002750215.1_ASM275021v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/215/GCF_002750215.1_ASM275021v1,2017-11-04T00:00:00Z,,,67.0,2.57463,SCH-2,PEIR01
Staphylococcus epidermidis,GCA_003687235.1,PRJNA415995,SAMN10232704,2368,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/687/235/GCA_003687235.1_ASM368723v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/687/235/GCF_003687235.1_ASM368723v1,2018-10-24T00:00:00Z,,,56.0,2.54208,73.5,RDEG01
Staphylococcus epidermidis,GCA_007676715.1,PRJNA543692,SAMN11792455,2359,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/676/715/GCA_007676715.1_ASM767671v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/676/715/GCF_007676715.1_ASM767671v1,2019-07-30T00:00:00Z,,,150.0,2.54391,DE0295,VEBI01
Staphylococcus epidermidis,GCA_002750255.1,PRJNA415995,SAMN07839763,2462,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/255/GCA_002750255.1_ASM275025v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/255/GCF_002750255.1_ASM275025v1,2017-11-04T00:00:00Z,,,93.0,2.62102,SCH-10,PEIZ01
Staphylococcus epidermidis,GCA_002750185.1,PRJNA415995,SAMN07839773,2625,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/185/GCA_002750185.1_ASM275018v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/185/GCF_002750185.1_ASM275018v1,2017-11-04T00:00:00Z,,,92.0,2.76281,SCH-20,PEJJ01
Staphylococcus epidermidis,GCA_007666195.1,PRJNA543692,SAMN11792706,2317,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/195/GCA_007666195.1_ASM766619v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/195/GCF_007666195.1_ASM766619v1,2019-07-30T00:00:00Z,,,60.0,2.4745,DE0546,VDOT01
Staphylococcus epidermidis ATCC 12228,GCA_007666585.1,PRJNA543692,SAMN11792687,2321,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/585/GCA_007666585.1_ASM766658v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/585/GCF_007666585.1_ASM766658v1,2019-07-30T00:00:00Z,,,63.0,2.47422,DE0527,VDPK01
Staphylococcus epidermidis,GCA_007678415.1,PRJNA543692,SAMN11792328,2318,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/415/GCA_007678415.1_ASM767841v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/415/GCF_007678415.1_ASM767841v1,2019-07-30T00:00:00Z,,,88.0,2.45375,DE0168,VEEO01
